Channel,Counts
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,1
62,444
63,630
64,683
65,627
66,670
67,669
68,689
69,710
70,709
71,695
72,686
73,674
74,666
75,645
76,626
77,604
78,611
79,590
80,576
81,573
82,546
83,585
84,593
85,593
86,564
87,565
88,560
89,557
90,539
91,558
92,553
93,566
94,552
95,590
96,590
97,544
98,556
99,544
100,557
101,552
102,560
103,596
104,535
105,580
106,588
107,556
108,531
109,508
110,515
111,548
112,529
113,546
114,475
115,510
116,535
117,558
118,557
119,523
120,552
121,497
122,543
123,540
124,521
125,561
126,503
127,505
128,536
129,515
130,484
131,527
132,505
133,533
134,562
135,468
136,506
137,486
138,470
139,479
140,464
141,497
142,476
143,487
144,499
145,507
146,524
147,452
148,449
149,454
150,451
151,503
152,458
153,455
154,457
155,455
156,462
157,454
158,490
159,456
160,428
161,487
162,472
163,472
164,454
165,453
166,479
167,458
168,478
169,462
170,470
171,424
172,452
173,444
174,467
175,483
176,438
177,439
178,415
179,417
180,434
181,428
182,451
183,452
184,476
185,411
186,450
187,473
188,408
189,436
190,411
191,455
192,405
193,419
194,430
195,419
196,404
197,399
198,446
199,492
200,424
201,401
202,387
203,438
204,389
205,376
206,415
207,404
208,390
209,420
210,375
211,399
212,420
213,445
214,403
215,393
216,376
217,410
218,410
219,336
220,390
221,377
222,395
223,361
224,369
225,360
226,393
227,382
228,416
229,392
230,401
231,378
232,380
233,419
234,370
235,350
236,363
237,371
238,396
239,378
240,345
241,387
242,401
243,365
244,366
245,373
246,393
247,407
248,385
249,361
250,375
251,382
252,370
253,358
254,359
255,355
256,382
257,353
258,342
259,356
260,351
261,351
262,381
263,331
264,381
265,367
266,325
267,353
268,366
269,365
270,344
271,350
272,354
273,329
274,324
275,333
276,357
277,369
278,311
279,356
280,336
281,319
282,356
283,382
284,363
285,329
286,362
287,327
288,324
289,353
290,349
291,304
292,338
293,354
294,326
295,334
296,327
297,339
298,329
299,315
300,364
301,321
302,300
303,319
304,333
305,334
306,368
307,340
308,278
309,293
310,315
311,321
312,322
313,317
314,300
315,324
316,322
317,304
318,337
319,329
320,350
321,323
322,314
323,310
324,291
325,327
326,304
327,317
328,337
329,331
330,302
331,302
332,318
333,315
334,305
335,301
336,346
337,329
338,288
339,309
340,276
341,291
342,286
343,285
344,297
345,254
346,300
347,272
348,297
349,261
350,274
351,298
352,311
353,283
354,299
355,266
356,278
357,275
358,276
359,288
360,284
361,298
362,289
363,302
364,272
365,278
366,254
367,268
368,280
369,275
370,311
371,304
372,276
373,292
374,281
375,294
376,300
377,268
378,270
379,290
380,256
381,295
382,277
383,285
384,278
385,288
386,258
387,259
388,256
389,245
390,276
391,263
392,262
393,256
394,269
395,266
396,236
397,255
398,238
399,261
400,255
401,266
402,240
403,281
404,270
405,251
406,250
407,258
408,289
409,247
410,235
411,245
412,247
413,262
414,237
415,255
416,241
417,251
418,271
419,250
420,252
421,269
422,278
423,256
424,269
425,251
426,255
427,262
428,268
429,257
430,263
431,235
432,266
433,232
434,231
435,218
436,250
437,224
438,251
439,249
440,250
441,243
442,209
443,229
444,248
445,265
446,239
447,212
448,226
449,225
450,200
451,238
452,215
453,215
454,191
455,234
456,242
457,232
458,229
459,251
460,260
461,215
462,241
463,227
464,218
465,226
466,217
467,215
468,212
469,205
470,206
471,241
472,237
473,218
474,214
475,200
476,200
477,220
478,218
479,237
480,227
481,229
482,250
483,244
484,201
485,215
486,212
487,217
488,234
489,201
490,212
491,209
492,218
493,221
494,201
495,232
496,216
497,175
498,197
499,202
500,183
501,224
502,214
503,211
504,229
505,204
506,200
507,204
508,179
509,208
510,208
511,220
512,191
513,215
514,223
515,201
516,207
517,216
518,220
519,205
520,200
521,198
522,170
523,194
524,204
525,218
526,186
527,197
528,189
529,213
530,187
531,212
