Channel,Counts
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,103
63,134
64,138
65,133
66,144
67,135
68,154
69,169
70,156
71,170
72,165
73,156
74,136
75,138
76,130
77,137
78,124
79,123
80,121
81,120
82,108
83,124
84,127
85,121
86,125
87,106
88,105
89,111
90,116
91,108
92,114
93,109
94,103
95,107
96,105
97,106
98,100
99,92
100,104
101,89
102,102
103,135
104,118
105,94
106,119
107,118
108,102
109,122
110,99
111,119
112,108
113,112
114,105
115,98
116,106
117,105
118,105
119,100
120,105
121,106
122,115
123,107
124,104
125,105
126,98
127,90
128,96
129,86
130,84
131,99
132,102
133,109
134,118
135,96
136,96
137,105
138,91
139,87
140,89
141,90
142,99
143,108
144,89
145,116
146,104
147,96
148,82
149,98
150,84
151,111
152,80
153,82
154,79
155,96
156,110
157,78
158,112
159,88
160,72
161,80
162,95
163,88
164,97
165,99
166,108
167,84
168,94
169,97
170,81
171,89
172,87
173,90
174,103
175,108
176,87
177,97
178,81
179,91
180,102
181,89
182,88
183,85
184,87
185,72
186,88
187,100
188,83
189,100
190,83
191,75
192,75
193,72
194,81
195,73
196,79
197,84
198,80
199,95
200,80
201,98
202,76
203,88
204,69
205,80
206,73
207,87
208,82
209,89
210,74
211,93
212,86
213,73
214,87
215,81
216,71
217,76
218,76
219,53
220,76
221,63
222,76
223,77
224,56
225,76
226,73
227,74
228,80
229,76
230,98
231,82
232,75
233,88
234,66
235,67
236,69
237,67
238,66
239,67
240,72
241,76
242,66
243,82
244,74
245,79
246,83
247,76
248,74
249,58
250,78
251,77
252,76
253,74
254,68
255,74
256,70
257,62
258,58
259,69
260,73
261,74
262,84
263,59
264,80
265,67
266,65
267,80
268,67
269,83
270,64
271,65
272,70
273,69
274,67
275,69
276,63
277,65
278,75
279,73
280,61
281,63
282,53
283,93
284,72
285,66
286,64
287,63
288,63
289,71
290,75
291,56
292,62
293,74
294,66
295,49
296,69
297,83
298,64
299,55
300,69
301,74
302,58
303,61
304,62
305,62
306,76
307,62
308,60
309,47
310,65
311,73
312,68
313,52
314,59
315,59
316,70
317,51
318,75
319,64
320,66
321,70
322,69
323,48
324,70
325,70
326,50
327,59
328,65
329,59
330,64
331,55
332,65
333,64
334,68
335,69
336,63
337,64
338,52
339,57
340,61
341,64
342,62
343,58
344,55
345,50
346,62
347,54
348,58
349,59
350,43
351,54
352,61
353,50
354,48
355,40
356,53
357,51
358,46
359,50
360,51
361,60
362,43
363,56
364,62
365,62
366,46
367,55
368,57
369,49
370,44
371,60
372,49
373,56
374,60
375,53
376,45
377,56
378,61
379,59
380,56
381,79
382,50
383,57
384,55
385,51
386,55
387,53
388,52
389,42
390,52
391,50
392,53
393,53
394,61
395,48
396,40
397,60
398,49
399,54
400,56
401,50
402,34
403,58
404,51
405,57
406,52
407,61
408,69
409,49
410,62
411,51
412,60
413,51
414,52
415,57
416,46
417,43
418,52
419,56
420,42
421,62
422,47
423,42
424,62
425,47
426,55
427,44
428,47
429,49
430,45
431,45
432,48
433,53
434,45
435,43
436,56
437,52
438,57
439,37
440,39
441,53
442,49
443,44
444,49
445,52
446,45
447,45
448,46
449,50
450,37
451,51
452,42
453,34
454,38
455,47
456,52
457,43
458,38
459,56
460,47
461,41
462,50
463,40
464,34
465,47
466,49
467,45
468,48
469,43
470,35
471,39
472,45
473,43
474,48
475,28
476,46
477,51
478,37
479,40
480,55
481,50
482,48
483,53
484,41
485,42
486,43
487,37
488,43
489,33
490,37
491,38
492,53
493,38
494,45
495,47
496,39
497,29
498,41
499,43
500,40
501,43
502,44
503,42
504,45
505,43
506,39
507,33
508,39
509,36
510,34
511,35
512,48
513,35
514,39
515,44
516,36
517,41
518,38
519,46
520,41
521,49
522,39
523,36
524,39
525,35
526,43
527,41
528,32
529,41
530,43
531,34
