Channel,Counts
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,1
10,0
11,0
12,0
13,0
14,1
15,3078
16,34498
17,58827
18,1855891
19,1.234635e+007
20,2.261318e+007
21,2593344
22,1336
23,22
24,16
25,17
26,27
27,16
28,12
29,21
30,23
31,29
32,26
33,25
34,19
35,24
36,26
37,23
38,25
39,21
40,18
41,34
42,26
43,32
44,29
45,25
46,27
47,25
48,34
49,30
50,32
51,32
52,31
53,25
54,27
55,20
56,25
57,29
58,26
59,27
60,25
61,25
62,18
63,30
64,21
65,31
66,29
67,28
68,36
69,24
70,30
71,27
72,23
73,29
74,26
75,32
76,33
77,28
78,19
79,29
80,18
81,33
82,26
83,25
84,28
85,28
86,31
87,33
88,23
89,20
90,24
91,33
92,28
93,24
94,21
95,32
96,33
97,17
98,27
99,32
100,25
101,26
102,31
103,19
104,34
105,27
106,42
107,24
108,25
109,28
110,28
111,32
112,30
113,29
114,19
115,32
116,27
117,31
118,19
119,26
120,21
121,23
122,16
123,30
124,20
125,28
126,27
127,20
128,21
129,28
130,27
131,22
132,28
133,29
134,26
135,26
136,23
137,23
138,25
139,33
140,33
141,22
142,22
143,24
144,31
145,30
146,23
147,27
148,31
149,22
150,24
151,20
152,27
153,21
154,21
155,25
156,30
157,29
158,22
159,33
160,32
161,24
162,22
163,19
164,21
165,28
166,20
167,20
168,27
169,36
170,27
171,34
172,29
173,26
174,37
175,34
176,29
177,23
178,28
179,26
180,18
181,24
182,23
183,27
184,25
185,29
186,30
187,33
188,19
189,26
190,27
191,32
192,20
193,20
194,30
195,25
196,16
197,20
198,35
199,26
200,23
201,33
202,28
203,19
204,26
205,26
206,29
207,31
208,21
209,17
210,17
211,22
212,19
213,33
214,20
215,30
216,31
217,17
218,31
219,27
220,13
221,26
222,26
223,22
224,23
225,20
226,27
227,23
228,22
229,21
230,27
231,23
232,30
233,23
234,29
235,25
236,17
237,23
238,27
239,33
240,23
241,18
242,21
243,29
244,25
245,28
246,16
247,25
248,23
249,29
250,32
251,28
252,35
253,30
254,27
255,35
256,28
257,28
258,21
259,24
260,25
261,27
262,29
263,24
264,36
265,31
266,31
267,36
268,24
269,13
270,22
271,24
272,24
273,14
274,29
275,29
276,30
277,26
278,27
279,23
280,17
281,23
282,38
283,25
284,21
285,21
286,23
287,28
288,29
289,22
290,31
291,25
292,32
293,27
294,20
295,17
296,19
297,14
298,34
299,30
300,21
301,27
302,26
303,25
304,16
305,28
306,9
307,20
308,27
309,23
310,19
311,25
312,25
313,28
314,25
315,30
316,33
317,21
318,29
319,27
320,19
321,20
322,26
323,27
324,22
325,28
326,25
327,26
328,25
329,37
330,29
331,24
332,22
333,36
334,30
335,34
336,28
337,27
338,28
339,21
340,26
341,30
342,26
343,33
344,17
345,26
346,19
347,18
348,27
349,23
350,19
351,29
352,25
353,27
354,14
355,29
356,34
357,25
358,18
359,21
360,26
361,21
362,21
363,29
364,32
365,33
366,32
367,30
368,28
369,24
370,30
371,23
372,23
373,24
374,29
375,28
376,22
377,22
378,20
379,18
380,24
381,26
382,18
383,23
384,29
385,24
386,28
387,30
388,27
389,26
390,32
391,29
392,26
393,30
394,24
395,31
396,14
397,28
398,30
399,22
400,18
401,21
402,19
403,27
404,23
405,20
406,27
407,33
408,26
409,28
410,25
411,22
412,21
413,24
414,19
415,22
416,23
417,19
418,26
419,31
420,34
421,22
422,24
423,35
424,24
425,13
426,27
427,26
428,24
429,27
430,25
431,27
432,25
433,31
434,27
435,24
436,32
437,30
438,31
439,30
440,21
441,23
442,17
443,26
444,25
445,21
446,32
447,10
448,25
449,16
450,22
451,30
452,23
453,27
454,28
455,33
456,27
457,28
458,20
459,25
460,34
461,20
462,25
463,20
464,15
465,31
466,28
467,34
468,21
469,25
470,34
471,25
472,26
473,17
474,29
475,20
476,26
477,22
478,29
479,32
480,29
481,22
482,31
483,26
484,32
485,23
486,28
487,16
488,27
489,25
490,22
491,24
492,34
493,25
494,19
495,36
496,26
497,38
498,18
499,24
500,30
501,30
502,24
503,23
504,23
505,25
506,25
507,28
508,27
509,26
510,24
511,19
512,24
513,25
514,29
515,34
516,28
517,26
518,25
519,27
520,25
521,26
522,22
523,23
524,24
525,21
526,27
