Channel,Counts
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,5
12,56
13,139
14,176
15,174
16,177
17,183
18,133
19,172
20,175
21,149
22,143
23,156
24,163
25,170
26,168
27,155
28,148
29,141
30,136
31,141
32,145
33,139
34,140
35,119
36,139
37,138
38,114
39,143
40,124
41,127
42,118
43,115
44,102
45,103
46,115
47,102
48,96
49,97
50,106
51,101
52,115
53,96
54,95
55,89
56,85
57,84
58,109
59,72
60,59
61,75
62,84
63,78
64,78
65,81
66,69
67,85
68,67
69,94
70,64
71,72
72,64
73,71
74,68
75,64
76,62
77,52
78,59
79,61
80,55
81,65
82,59
83,60
84,64
85,56
86,66
87,60
88,58
89,53
90,52
91,58
92,50
93,55
94,71
95,53
96,39
97,61
98,66
99,54
100,56
101,59
102,55
103,50
104,58
105,48
106,56
107,63
108,66
109,40
110,59
111,55
112,52
113,57
114,45
115,55
116,47
117,50
118,48
119,55
120,60
121,49
122,47
123,44
124,43
125,44
126,38
127,35
128,53
129,43
130,55
131,41
132,44
133,42
134,35
135,48
136,45
137,53
138,42
139,41
140,36
141,33
142,33
143,39
144,42
145,38
146,42
147,50
148,49
149,27
150,38
151,35
152,37
153,44
154,40
155,34
156,41
157,35
158,37
159,39
160,42
161,28
162,41
163,35
164,35
165,33
166,42
167,30
168,38
169,33
170,34
171,37
172,30
173,38
174,42
175,37
176,27
177,37
178,28
179,22
180,35
181,35
182,30
183,43
184,31
185,35
186,34
187,32
188,34
189,33
190,34
191,28
192,25
193,30
194,31
195,38
196,25
197,33
198,23
199,21
200,36
201,27
202,26
203,23
204,28
205,26
206,26
207,24
208,30
209,34
210,25
211,17
212,27
213,25
214,39
215,32
216,23
217,27
218,22
219,28
220,22
221,32
222,25
223,28
224,22
225,29
226,27
227,34
228,25
229,16
230,27
231,21
232,27
233,22
234,19
235,22
236,20
237,30
238,17
239,23
240,22
241,25
242,19
243,23
244,18
245,24
246,20
247,22
248,23
249,16
250,23
251,18
252,26
253,13
254,22
255,22
256,18
257,24
258,26
259,17
260,20
261,23
262,26
263,22
264,15
265,17
266,16
267,19
268,26
269,27
270,23
271,22
272,33
273,22
274,15
275,21
276,17
277,23
278,24
279,11
280,23
281,18
282,18
283,26
284,26
285,18
286,19
287,22
288,18
289,14
290,21
291,14
292,14
293,19
294,21
295,19
296,16
297,22
298,12
299,19
300,18
301,14
302,14
303,21
304,16
305,20
306,15
307,13
308,13
309,17
310,15
311,18
312,15
313,15
314,12
315,19
316,12
317,12
318,15
319,13
320,15
321,14
322,17
323,13
324,17
325,22
326,12
327,18
328,15
329,20
330,12
331,20
332,17
333,11
334,9
335,14
336,14
337,17
338,14
339,10
340,15
341,13
342,12
343,14
344,12
345,11
346,16
347,22
348,13
349,11
350,21
351,8
352,9
353,12
354,16
355,24
356,16
357,16
358,12
359,13
360,10
361,19
362,12
363,10
364,14
365,15
366,12
367,20
368,18
369,14
370,18
371,12
372,12
373,15
374,13
375,17
376,17
377,18
378,6
379,7
380,15
381,18
382,15
383,19
384,15
385,13
386,12
387,18
388,14
389,19
390,15
391,15
392,17
393,16
394,11
395,10
396,11
397,17
398,14
399,15
400,7
401,10
402,6
403,30
404,20
405,14
406,15
407,19
408,18
409,12
410,7
411,14
412,13
413,10
414,15
415,8
416,19
417,10
418,14
419,11
420,16
421,13
422,19
423,11
424,16
425,14
426,14
427,10
428,15
429,8
430,13
431,10
432,11
433,17
434,6
435,9
436,15
437,8
438,11
439,14
440,6
441,12
442,12
443,14
444,13
445,8
446,17
447,15
448,12
449,13
450,9
451,16
452,10
453,10
454,11
455,12
456,8
457,7
458,16
459,12
460,11
461,9
462,8
463,9
464,13
465,11
466,13
467,17
468,12
469,11
470,14
471,11
472,11
473,6
474,7
475,16
476,9
477,7
478,10
479,10
480,8
481,8
482,7
483,15
484,10
485,8
486,8
487,12
488,11
489,8
490,11
491,9
492,9
493,10
494,9
495,16
496,19
497,16
498,13
499,8
500,9
501,17
502,9
503,13
504,15
505,11
506,12
507,5
508,6
509,13
510,11
511,19
512,9
513,13
514,10
515,8
516,10
517,15
518,13
519,8
520,8
521,7
522,11
523,16
524,8
525,17
526,5
527,12
528,10
529,9
530,15
531,10
