Channel,Counts
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,1
12,24
13,59
14,86
15,118
16,105
17,92
18,104
19,87
20,88
21,83
22,98
23,88
24,84
25,82
26,81
27,69
28,77
29,62
30,77
31,74
32,73
33,71
34,62
35,75
36,68
37,74
38,60
39,54
40,69
41,54
42,68
43,64
44,59
45,66
46,59
47,61
48,61
49,71
50,67
51,64
52,62
53,45
54,66
55,59
56,54
57,60
58,60
59,65
60,62
61,51
62,65
63,62
64,60
65,61
66,51
67,54
68,62
69,40
70,51
71,51
72,47
73,48
74,50
75,52
76,53
77,48
78,39
79,49
80,43
81,54
82,50
83,36
84,39
85,47
86,45
87,31
88,34
89,41
90,48
91,48
92,53
93,54
94,36
95,42
96,39
97,46
98,45
99,46
100,45
101,46
102,47
103,46
104,40
105,41
106,44
107,40
108,39
109,39
110,44
111,48
112,46
113,52
114,44
115,37
116,28
117,39
118,47
119,39
120,28
121,38
122,26
123,30
124,29
125,30
126,38
127,27
128,31
129,30
130,22
131,35
132,29
133,27
134,31
135,37
136,26
137,25
138,26
139,17
140,21
141,31
142,34
143,20
144,25
145,24
146,43
147,30
148,40
149,50
150,53
151,40
152,37
153,54
154,23
155,31
156,24
157,15
158,31
159,31
160,41
161,36
162,36
163,34
164,39
165,19
166,39
167,37
168,36
169,32
170,23
171,27
172,31
173,28
174,34
175,23
176,26
177,20
178,17
179,18
180,16
181,24
182,25
183,18
184,20
185,25
186,25
187,22
188,24
189,19
190,30
191,25
192,21
193,17
194,39
195,17
196,13
197,25
198,20
199,14
200,19
201,23
202,17
203,30
204,27
205,20
206,21
207,17
208,15
209,18
210,19
211,15
212,20
213,13
214,20
215,21
216,18
217,19
218,18
219,18
220,17
221,20
222,14
223,18
224,21
225,21
226,24
227,14
228,17
229,21
230,19
231,14
232,20
233,13
234,17
235,12
236,12
237,23
238,13
239,18
240,24
241,20
242,14
243,15
244,12
245,15
246,22
247,16
248,16
249,13
250,15
251,16
252,13
253,14
254,13
255,22
256,13
257,14
258,19
259,10
260,19
261,12
262,23
263,11
264,14
265,13
266,13
267,15
268,11
269,16
270,13
271,14
272,17
273,17
274,13
275,9
276,13
277,16
278,9
279,10
280,12
281,15
282,11
283,18
284,11
285,11
286,4
287,13
288,14
289,15
290,9
291,12
292,15
293,9
294,9
295,17
296,11
297,8
298,10
299,13
300,9
301,13
302,8
303,14
304,10
305,15
306,5
307,9
308,10
309,13
310,14
311,14
312,9
313,14
314,6
315,4
316,8
317,13
318,9
319,9
320,6
321,4
322,12
323,13
324,8
325,5
326,10
327,11
328,11
329,6
330,9
331,5
332,9
333,4
334,9
335,9
336,8
337,10
338,7
339,7
340,8
341,9
342,11
343,7
344,9
345,9
346,6
347,14
348,5
349,8
350,14
351,8
352,7
353,8
354,12
355,10
356,4
357,2
358,3
359,6
360,9
361,6
362,10
363,5
364,7
365,11
366,7
367,12
368,6
369,7
370,3
371,10
372,5
373,7
374,6
375,8
376,2
377,5
378,3
379,12
380,6
381,7
382,8
383,9
384,10
385,4
386,5
387,8
388,3
389,8
390,6
391,10
392,8
393,8
394,6
395,9
396,5
397,10
398,8
399,7
400,3
401,8
402,10
403,9
404,5
405,4
406,6
407,9
408,8
409,4
410,8
411,1
412,3
413,4
414,5
415,12
416,6
417,9
418,5
419,6
420,5
421,6
422,1
423,3
424,7
425,11
426,6
427,8
428,6
429,5
430,6
431,5
432,7
433,5
434,5
435,5
436,10
437,4
438,4
439,6
440,2
441,5
442,6
443,5
444,8
445,6
446,9
447,4
448,6
449,4
450,4
451,7
452,5
453,8
454,8
455,6
456,12
457,2
458,2
459,0
460,3
461,1
462,2
463,5
464,9
465,6
466,6
467,7
468,6
469,10
470,14
471,15
472,10
473,17
474,17
475,15
476,11
477,17
478,13
479,12
480,9
481,8
482,5
483,7
484,3
485,5
486,4
487,4
488,6
489,4
490,1
491,2
492,9
493,3
494,8
495,4
496,1
497,2
498,6
499,4
500,2
501,5
502,4
503,4
504,4
505,5
506,5
507,9
508,6
509,5
510,7
511,4
512,8
513,5
514,5
515,6
516,2
517,4
518,4
519,0
520,4
521,2
522,7
523,3
524,3
525,4
526,7
527,7
528,5
529,6
530,10
531,9
