Channel,Counts
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,1
12,5
13,21
14,23
15,28
16,15
17,33
18,32
19,25
20,36
21,17
22,18
23,32
24,29
25,26
26,19
27,17
28,31
29,22
30,27
31,32
32,20
33,26
34,30
35,19
36,17
37,20
38,11
39,27
40,24
41,17
42,14
43,20
44,14
45,18
46,20
47,21
48,17
49,20
50,19
51,20
52,18
53,21
54,12
55,17
56,17
57,18
58,26
59,18
60,21
61,23
62,17
63,11
64,17
65,28
66,17
67,19
68,20
69,22
70,8
71,20
72,11
73,10
74,18
75,3
76,11
77,19
78,11
79,14
80,15
81,14
82,15
83,18
84,15
85,10
86,9
87,22
88,14
89,10
90,18
91,21
92,8
93,13
94,17
95,15
96,22
97,13
98,14
99,13
100,15
101,16
102,16
103,12
104,18
105,17
106,9
107,16
108,13
109,11
110,13
111,12
112,14
113,12
114,10
115,13
116,24
117,14
118,13
119,9
120,17
121,13
122,10
123,6
124,14
125,8
126,15
127,13
128,12
129,18
130,17
131,9
132,13
133,12
134,10
135,9
136,12
137,10
138,13
139,13
140,7
141,9
142,11
143,14
144,14
145,6
146,10
147,12
148,8
149,9
150,17
151,10
152,4
153,7
154,7
155,13
156,7
157,9
158,17
159,10
160,6
161,10
162,14
163,11
164,15
165,17
166,9
167,9
168,15
169,11
170,9
171,19
172,8
173,9
174,9
175,16
176,11
177,12
178,8
179,23
180,10
181,10
182,15
183,14
184,7
185,7
186,6
187,5
188,12
189,12
190,8
191,10
192,17
193,13
194,10
195,14
196,11
197,13
198,14
199,12
200,16
201,13
202,16
203,7
204,4
205,13
206,16
207,17
208,14
209,9
210,15
211,10
212,10
213,11
214,6
215,10
216,11
217,13
218,14
219,7
220,18
221,9
222,9
223,22
224,13
225,11
226,10
227,8
228,11
229,13
230,6
231,12
232,9
233,7
234,7
235,10
236,10
237,11
238,8
239,11
240,8
241,12
242,10
243,10
244,9
245,10
246,9
247,17
248,11
249,7
250,9
251,9
252,17
253,10
254,7
255,9
256,8
257,14
258,7
259,18
260,13
261,16
262,24
263,31
264,89
265,132
266,231
267,313
268,377
269,470
270,482
271,423
272,377
273,291
274,179
275,111
276,89
277,39
278,9
279,15
280,9
281,11
282,10
283,12
284,10
285,6
286,8
287,9
288,13
289,11
290,12
291,10
292,13
293,26
294,31
295,49
296,47
297,72
298,74
299,74
300,83
301,77
302,55
303,44
304,22
305,29
306,13
307,4
308,3
309,4
310,7
311,9
312,4
313,7
314,6
315,6
316,2
317,4
318,5
319,3
320,4
321,6
322,6
323,5
324,5
325,3
326,6
327,2
328,6
329,8
330,4
331,8
332,5
333,5
334,3
335,3
336,5
337,1
338,4
339,6
340,2
341,6
342,4
343,3
344,5
345,4
346,2
347,0
348,7
349,2
350,3
351,8
352,2
353,0
354,1
355,4
356,5
357,7
358,7
359,2
360,5
361,6
362,2
363,1
364,3
365,3
366,3
367,2
368,4
369,3
370,3
371,3
372,5
373,3
374,1
375,3
376,2
377,2
378,4
379,0
380,2
381,2
382,1
383,2
384,2
385,0
386,1
387,2
388,3
389,3
390,3
391,1
392,2
393,3
394,6
395,1
396,4
397,0
398,2
399,1
400,2
401,2
402,2
403,0
404,0
405,0
406,1
407,3
408,3
409,2
410,3
411,5
412,1
413,1
414,2
415,3
416,0
417,1
418,2
419,0
420,1
421,4
422,1
423,2
424,1
425,3
426,1
427,3
428,3
429,6
430,2
431,1
432,1
433,6
434,2
435,0
436,1
437,1
438,2
439,1
440,1
441,3
442,1
443,1
444,1
445,1
446,2
447,1
448,1
449,0
450,0
451,2
452,0
453,1
454,1
455,2
456,3
457,4
458,1
459,1
460,2
461,1
462,3
463,1
464,0
465,1
466,2
467,1
468,0
469,1
470,1
471,1
472,2
473,0
474,0
475,1
476,1
477,1
478,2
479,0
480,2
481,0
482,3
483,1
484,1
485,0
486,2
487,1
488,3
489,1
490,0
491,1
492,3
493,0
494,2
495,1
496,1
497,0
498,1
499,0
500,0
501,0
502,2
503,0
504,0
505,1
506,2
507,3
508,1
509,2
510,3
511,2
512,1
513,1
514,0
515,3
516,1
517,1
518,1
519,1
520,0
521,0
522,1
523,1
524,0
525,1
526,4
527,4
528,0
529,2
530,1
531,3
