Channel,Counts
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,7
14,11
15,12
16,11
17,15
18,19
19,6
20,9
21,8
22,9
23,9
24,5
25,19
26,7
27,10
28,12
29,7
30,8
31,8
32,10
33,10
34,6
35,7
36,13
37,4
38,13
39,6
40,5
41,4
42,8
43,12
44,5
45,13
46,15
47,7
48,12
49,4
50,10
51,17
52,5
53,12
54,11
55,15
56,8
57,8
58,7
59,12
60,12
61,8
62,10
63,9
64,10
65,11
66,11
67,11
68,14
69,10
70,11
71,18
72,14
73,21
74,33
75,37
76,41
77,52
78,43
79,24
80,23
81,17
82,25
83,7
84,11
85,15
86,9
87,8
88,11
89,14
90,16
91,5
92,11
93,11
94,14
95,12
96,16
97,9
98,22
99,26
100,23
101,21
102,16
103,13
104,13
105,6
106,12
107,7
108,3
109,6
110,8
111,5
112,9
113,7
114,5
115,3
116,5
117,9
118,4
119,8
120,7
121,3
122,8
123,5
124,5
125,12
126,5
127,12
128,8
129,7
130,3
131,9
132,4
133,6
134,13
135,8
136,6
137,3
138,8
139,12
140,4
141,6
142,6
143,10
144,13
145,10
146,6
147,12
148,6
149,10
150,14
151,14
152,17
153,17
154,27
155,14
156,14
157,22
158,14
159,22
160,13
161,17
162,15
163,9
164,14
165,11
166,10
167,13
168,14
169,8
170,8
171,8
172,6
173,12
174,15
175,14
176,12
177,16
178,10
179,17
180,12
181,16
182,14
183,23
184,14
185,17
186,12
187,19
188,14
189,16
190,9
191,12
192,14
193,16
194,14
195,20
196,13
197,18
198,19
199,28
200,19
201,13
202,29
203,31
204,36
205,42
206,70
207,145
208,270
209,614
210,1094
211,1878
212,2697
213,3664
214,4322
215,4309
216,3923
217,3082
218,2231
219,1339
220,757
221,372
222,149
223,54
224,35
225,18
226,15
227,25
228,25
229,49
230,64
231,136
232,218
233,335
234,491
235,582
236,719
237,700
238,624
239,553
240,390
241,232
242,142
243,79
244,36
245,12
246,13
247,5
248,3
249,6
250,7
251,1
252,3
253,2
254,4
255,3
256,7
257,5
258,5
259,5
260,4
261,5
262,7
263,2
264,5
265,4
266,2
267,11
268,4
269,5
270,4
271,8
272,14
273,9
274,7
275,9
276,5
277,4
278,7
279,5
280,6
281,7
282,8
283,15
284,7
285,8
286,8
287,7
288,11
289,15
290,10
291,8
292,11
293,9
294,11
295,7
296,4
297,7
298,2
299,4
300,7
301,9
302,9
303,7
304,4
305,5
306,3
307,5
308,5
309,1
310,2
311,8
312,5
313,5
314,0
315,1
316,6
317,7
318,5
319,12
320,3
321,7
322,4
323,4
324,4
325,5
326,6
327,2
328,8
329,4
330,5
331,7
332,5
333,11
334,7
335,8
336,3
337,7
338,7
339,5
340,9
341,2
342,5
343,4
344,4
345,6
346,8
347,2
348,2
349,4
350,11
351,10
352,14
353,3
354,5
355,11
356,8
357,4
358,4
359,7
360,5
361,4
362,8
363,4
364,2
365,8
366,12
367,4
368,6
369,1
370,10
371,5
372,1
373,6
374,6
375,3
376,8
377,6
378,6
379,7
380,4
381,6
382,9
383,7
384,4
385,6
386,7
387,4
388,4
389,1
390,3
391,4
392,4
393,0
394,7
395,2
396,7
397,9
398,2
399,7
400,4
401,4
402,4
403,10
404,3
405,2
406,5
407,6
408,6
409,2
410,9
411,4
412,8
413,4
414,6
415,1
416,9
417,6
418,10
419,11
420,8
421,10
422,4
423,9
424,5
425,3
426,2
427,4
428,4
429,4
430,6
431,4
432,4
433,8
434,6
435,6
436,7
437,7
438,9
439,7
440,6
441,6
442,6
443,4
444,6
445,8
446,4
447,3
448,8
449,8
450,7
451,5
452,4
453,6
454,6
455,6
456,8
457,4
458,4
459,6
460,9
461,11
462,7
463,5
464,5
465,3
466,11
467,6
468,8
469,7
470,11
471,5
472,4
473,9
474,7
475,2
476,6
477,7
478,9
479,6
480,7
481,1
482,3
483,6
484,5
485,5
486,3
487,6
488,7
489,5
490,2
491,7
492,6
493,8
494,6
495,2
496,5
497,6
498,7
499,13
500,6
501,4
502,4
503,8
504,5
505,8
506,3
507,2
508,6
509,7
510,6
511,9
512,3
513,5
514,3
515,6
516,5
517,4
518,5
519,7
520,5
521,7
522,11
523,5
524,3
525,6
526,0
527,3
528,4
