Channel,Counts
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,6
13,7
14,19
15,22
16,15
17,20
18,17
19,14
20,21
21,14
22,16
23,15
24,12
25,12
26,18
27,14
28,8
29,10
30,13
31,15
32,3
33,9
34,11
35,13
36,13
37,9
38,16
39,10
40,19
41,5
42,12
43,8
44,5
45,11
46,10
47,4
48,11
49,11
50,8
51,10
52,8
53,10
54,5
55,8
56,8
57,10
58,14
59,9
60,7
61,4
62,7
63,6
64,12
65,10
66,6
67,5
68,13
69,7
70,7
71,11
72,9
73,7
74,8
75,4
76,10
77,7
78,7
79,9
80,8
81,12
82,10
83,7
84,6
85,5
86,10
87,14
88,11
89,17
90,7
91,12
92,10
93,6
94,11
95,25
96,26
97,23
98,28
99,27
100,29
101,25
102,15
103,15
104,15
105,9
106,10
107,10
108,11
109,9
110,11
111,8
112,6
113,6
114,3
115,7
116,9
117,5
118,6
119,6
120,9
121,7
122,9
123,7
124,10
125,9
126,6
127,9
128,8
129,7
130,7
131,8
132,9
133,2
134,7
135,4
136,4
137,3
138,6
139,10
140,6
141,8
142,3
143,6
144,6
145,5
146,8
147,9
148,1
149,8
150,7
151,11
152,4
153,5
154,10
155,10
156,4
157,5
158,6
159,9
160,6
161,8
162,9
163,4
164,7
165,5
166,6
167,7
168,10
169,10
170,6
171,11
172,8
173,14
174,12
175,23
176,9
177,15
178,7
179,17
180,14
181,8
182,11
183,8
184,9
185,6
186,10
187,11
188,7
189,12
190,8
191,9
192,12
193,6
194,16
195,9
196,11
197,4
198,14
199,9
200,22
201,23
202,12
203,17
204,17
205,13
206,23
207,25
208,16
209,25
210,23
211,23
212,25
213,31
214,33
215,39
216,29
217,19
218,26
219,25
220,19
221,12
222,18
223,4
224,9
225,16
226,16
227,15
228,11
229,14
230,20
231,23
232,17
233,15
234,17
235,20
236,20
237,19
238,12
239,32
240,22
241,29
242,18
243,19
244,19
245,28
246,41
247,34
248,45
249,34
250,52
251,62
252,49
253,43
254,40
255,29
256,29
257,27
258,46
259,31
260,44
261,66
262,134
263,262
264,498
265,875
266,1400
267,2057
268,2727
269,3227
270,3443
271,3302
272,2797
273,2059
274,1411
275,885
276,498
277,230
278,116
279,85
280,60
281,68
282,107
283,188
284,369
285,567
286,955
287,1427
288,1765
289,2039
290,2166
291,1994
292,1728
293,1381
294,952
295,745
296,533
297,557
298,530
299,536
300,498
301,433
302,350
303,233
304,134
305,77
306,45
307,21
308,16
309,14
310,11
311,13
312,15
313,23
314,24
315,23
316,28
317,40
318,70
319,81
320,105
321,116
322,116
323,97
324,89
325,65
326,54
327,30
328,24
329,19
330,12
331,10
332,10
333,8
334,9
335,6
336,9
337,8
338,4
339,7
340,8
341,8
342,7
343,6
344,14
345,7
346,10
347,7
348,8
349,11
350,13
351,10
352,9
353,4
354,7
355,11
356,12
357,9
358,10
359,11
360,3
361,9
362,13
363,7
364,9
365,13
366,9
367,13
368,8
369,10
370,17
371,9
372,8
373,9
374,6
375,7
376,8
377,12
378,4
379,2
380,10
381,8
382,8
383,9
384,8
385,8
386,10
387,11
388,12
389,11
390,11
391,8
392,10
393,9
394,7
395,12
396,11
397,4
398,7
399,7
400,6
401,8
402,13
403,8
404,6
405,13
406,7
407,7
408,10
409,9
410,3
411,9
412,8
413,10
414,10
415,9
416,13
417,13
418,14
419,5
420,13
421,11
422,10
423,8
424,5
425,10
426,12
427,9
428,10
429,6
430,8
431,8
432,7
433,8
434,10
435,10
436,9
437,6
438,7
439,12
440,6
441,16
442,9
443,5
444,12
445,11
446,8
447,6
448,17
449,15
450,13
451,11
452,6
453,12
454,8
455,13
456,12
457,12
458,9
459,12
460,5
461,8
462,8
463,13
464,7
465,7
466,15
467,15
468,11
469,10
470,15
471,8
472,15
473,6
474,9
475,12
476,7
477,13
478,11
479,9
480,10
481,8
482,10
483,9
484,11
485,4
486,11
487,11
488,15
489,13
490,12
491,16
492,15
493,11
494,13
495,14
496,9
497,10
498,17
499,8
500,13
501,13
502,9
503,11
504,4
505,10
506,11
507,13
508,12
509,12
510,10
511,13
512,11
513,12
514,10
515,6
516,12
517,12
518,11
519,13
520,15
521,12
522,16
523,9
524,15
525,11
526,22
527,8
