Channel,Counts
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,1
12,22
13,30
14,70
15,64
16,65
17,47
18,65
19,66
20,58
21,60
22,55
23,67
24,53
25,57
26,68
27,52
28,57
29,48
30,49
31,57
32,44
33,51
34,46
35,44
36,39
37,31
38,41
39,31
40,33
41,42
42,36
43,40
44,40
45,41
46,33
47,41
48,29
49,36
50,36
51,29
52,26
53,27
54,25
55,30
56,29
57,30
58,35
59,22
60,36
61,22
62,36
63,28
64,26
65,42
66,29
67,26
68,28
69,14
70,33
71,19
72,35
73,26
74,16
75,23
76,26
77,29
78,19
79,29
80,23
81,16
82,31
83,31
84,23
85,31
86,20
87,26
88,20
89,22
90,36
91,20
92,12
93,25
94,24
95,23
96,25
97,13
98,15
99,12
100,28
101,8
102,12
103,17
104,15
105,33
106,17
107,10
108,18
109,22
110,14
111,18
112,22
113,23
114,11
115,23
116,23
117,12
118,21
119,21
120,24
121,17
122,18
123,15
124,18
125,10
126,21
127,16
128,12
129,18
130,20
131,24
132,18
133,22
134,19
135,15
136,11
137,21
138,8
139,19
140,14
141,25
142,11
143,16
144,22
145,23
146,16
147,17
148,15
149,20
150,20
151,10
152,14
153,9
154,7
155,14
156,20
157,8
158,15
159,15
160,20
161,13
162,13
163,24
164,13
165,12
166,5
167,9
168,15
169,20
170,13
171,13
172,13
173,11
174,19
175,16
176,22
177,13
178,11
179,15
180,16
181,8
182,14
183,11
184,15
185,11
186,25
187,11
188,9
189,12
190,17
191,8
192,9
193,16
194,7
195,13
196,16
197,12
198,6
199,5
200,14
201,14
202,9
203,10
204,12
205,13
206,14
207,19
208,11
209,14
210,14
211,9
212,12
213,19
214,18
215,15
216,17
217,10
218,14
219,13
220,9
221,12
222,7
223,8
224,3
225,5
226,15
227,9
228,12
229,21
230,15
231,10
232,7
233,19
234,6
235,14
236,10
237,11
238,9
239,11
240,5
241,11
242,13
243,11
244,10
245,6
246,7
247,12
248,11
249,9
250,9
251,13
252,10
253,13
254,8
255,10
256,12
257,7
258,9
259,11
260,7
261,13
262,10
263,5
264,8
265,12
266,5
267,13
268,11
269,4
270,10
271,7
272,10
273,8
274,5
275,7
276,9
277,4
278,12
279,5
280,9
281,10
282,9
283,7
284,6
285,8
286,11
287,10
288,5
289,8
290,6
291,2
292,8
293,5
294,12
295,6
296,12
297,10
298,9
299,8
300,9
301,6
302,6
303,5
304,13
305,4
306,3
307,8
308,8
309,9
310,12
311,7
312,8
313,3
314,8
315,5
316,9
317,3
318,4
319,10
320,5
321,6
322,6
323,9
324,13
325,7
326,7
327,9
328,7
329,8
330,5
331,6
332,5
333,9
334,6
335,7
336,2
337,9
338,13
339,4
340,8
341,8
342,5
343,7
344,6
345,6
346,2
347,9
348,9
349,6
350,6
351,7
352,7
353,9
354,7
355,6
356,7
357,7
358,5
359,7
360,5
361,7
362,6
363,8
364,4
365,8
366,4
367,9
368,5
369,10
370,4
371,8
372,4
373,7
374,6
375,4
376,6
377,5
378,4
379,5
380,2
381,3
382,6
383,10
384,7
385,4
386,2
387,3
388,3
389,5
390,4
391,7
392,8
393,5
394,6
395,7
396,4
397,5
398,7
399,8
400,5
401,5
402,7
403,6
404,5
405,8
406,3
407,5
408,1
409,7
410,3
411,7
412,5
413,6
414,8
415,3
416,8
417,5
418,10
419,6
420,6
421,5
422,4
423,6
424,6
425,2
426,5
427,5
428,5
429,10
430,3
431,8
432,6
433,2
434,7
435,5
436,3
437,3
438,5
439,6
440,4
441,6
442,4
443,4
444,7
445,6
446,8
447,2
448,9
449,7
450,5
451,6
452,10
453,3
454,4
455,2
456,8
457,1
458,4
459,3
460,5
461,6
462,3
463,5
464,4
465,5
466,7
467,5
468,7
469,1
470,7
471,3
472,9
473,5
474,2
475,8
476,6
477,4
478,5
479,6
480,8
481,8
482,7
483,3
484,7
485,7
486,2
487,10
488,8
489,6
490,7
491,7
492,7
493,6
494,10
495,5
496,4
497,6
498,8
499,7
500,3
501,5
502,4
503,1
504,6
505,4
506,7
507,6
508,5
509,6
510,5
511,7
512,8
513,5
514,5
515,9
516,7
517,4
518,5
519,5
520,10
521,7
522,6
523,8
524,8
525,3
526,6
527,13
528,6
529,7
530,5
531,4
