Channel,Counts
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,3
13,9
14,15
15,15
16,19
17,16
18,9
19,18
20,13
21,14
22,16
23,9
24,20
25,16
26,21
27,14
28,12
29,9
30,13
31,11
32,15
33,13
34,13
35,15
36,11
37,13
38,9
39,6
40,7
41,10
42,7
43,9
44,5
45,7
46,9
47,11
48,9
49,8
50,11
51,7
52,8
53,5
54,5
55,7
56,4
57,2
58,7
59,9
60,4
61,4
62,11
63,13
64,8
65,8
66,6
67,7
68,9
69,4
70,9
71,3
72,3
73,6
74,8
75,4
76,9
77,7
78,3
79,7
80,7
81,9
82,10
83,9
84,12
85,10
86,14
87,6
88,11
89,6
90,8
91,10
92,5
93,17
94,14
95,12
96,19
97,21
98,36
99,28
100,26
101,26
102,21
103,12
104,10
105,11
106,6
107,9
108,10
109,6
110,6
111,6
112,6
113,12
114,5
115,4
116,9
117,4
118,7
119,7
120,7
121,5
122,10
123,5
124,5
125,4
126,4
127,8
128,6
129,5
130,2
131,4
132,4
133,3
134,3
135,9
136,1
137,5
138,7
139,8
140,10
141,9
142,3
143,2
144,6
145,6
146,4
147,8
148,5
149,5
150,3
151,8
152,6
153,2
154,4
155,9
156,7
157,1
158,4
159,6
160,11
161,9
162,10
163,10
164,10
165,5
166,7
167,7
168,8
169,12
170,6
171,10
172,11
173,10
174,14
175,17
176,13
177,13
178,17
179,9
180,12
181,12
182,7
183,5
184,11
185,11
186,11
187,10
188,12
189,5
190,14
191,13
192,8
193,7
194,7
195,12
196,10
197,14
198,7
199,10
200,10
201,18
202,14
203,18
204,23
205,22
206,29
207,30
208,31
209,26
210,22
211,34
212,33
213,55
214,67
215,47
216,38
217,43
218,35
219,25
220,16
221,12
222,15
223,12
224,12
225,13
226,21
227,13
228,10
229,16
230,13
231,13
232,12
233,21
234,14
235,21
236,25
237,28
238,25
239,29
240,27
241,15
242,26
243,28
244,36
245,22
246,27
247,36
248,61
249,50
250,52
251,48
252,64
253,44
254,55
255,31
256,33
257,35
258,30
259,34
260,56
261,68
262,168
263,317
264,615
265,1157
266,1903
267,2954
268,3933
269,4554
270,5033
271,4690
272,3951
273,3114
274,2110
275,1308
276,716
277,328
278,161
279,71
280,54
281,38
282,26
283,26
284,25
285,15
286,35
287,21
288,36
289,28
290,44
291,51
292,70
293,123
294,205
295,320
296,456
297,565
298,704
299,774
300,630
301,592
302,513
303,315
304,186
305,118
306,57
307,44
308,23
309,10
310,11
311,13
312,10
313,5
314,9
315,9
316,11
317,9
318,12
319,10
320,15
321,12
322,16
323,14
324,9
325,10
326,12
327,7
328,7
329,8
330,10
331,9
332,8
333,6
334,10
335,9
336,8
337,10
338,12
339,10
340,6
341,7
342,4
343,6
344,10
345,5
346,7
347,6
348,8
349,7
350,5
351,6
352,8
353,7
354,6
355,10
356,4
357,15
358,12
359,8
360,11
361,11
362,3
363,9
364,9
365,6
366,7
367,8
368,11
369,13
370,7
371,6
372,9
373,14
374,9
375,7
376,9
377,6
378,17
379,4
380,10
381,5
382,13
383,14
384,11
385,11
386,8
387,16
388,5
389,8
390,19
391,7
392,13
393,9
394,8
395,5
396,8
397,6
398,7
399,7
400,9
401,10
402,8
403,11
404,10
405,6
406,7
407,12
408,7
409,8
410,13
411,12
412,8
413,4
414,9
415,8
416,7
417,7
418,9
419,12
420,14
421,11
422,13
423,6
424,9
425,4
426,15
427,7
428,13
429,6
430,10
431,9
432,5
433,11
434,4
435,9
436,11
437,13
438,11
439,10
440,9
441,8
442,9
443,11
444,15
445,10
446,8
447,9
448,12
449,5
450,9
451,8
452,15
453,12
454,11
455,4
456,11
457,11
458,14
459,10
460,7
461,12
462,6
463,12
464,12
465,16
466,12
467,12
468,11
469,7
470,7
471,17
472,8
473,12
474,10
475,16
476,10
477,8
478,19
479,11
480,12
481,14
482,12
483,9
484,7
485,16
486,8
487,7
488,17
489,8
490,11
491,8
492,10
493,12
494,15
495,15
496,7
497,17
498,10
499,13
500,13
501,9
502,6
503,5
504,9
505,12
506,12
507,11
508,12
509,9
510,17
511,14
512,7
513,13
514,17
515,10
516,16
517,11
518,14
519,10
520,18
521,10
522,11
523,12
524,8
525,16
526,12
527,6
528,9
