Channel,Counts
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,6
13,21
14,32
15,36
16,40
17,33
18,34
19,46
20,32
21,33
22,35
23,33
24,33
25,35
26,41
27,31
28,30
29,34
30,23
31,24
32,36
33,35
34,31
35,30
36,26
37,19
38,34
39,24
40,20
41,33
42,29
43,24
44,20
45,24
46,25
47,13
48,17
49,15
50,28
51,16
52,14
53,20
54,27
55,17
56,22
57,11
58,18
59,19
60,20
61,24
62,25
63,15
64,19
65,19
66,7
67,14
68,18
69,21
70,25
71,23
72,22
73,14
74,18
75,20
76,14
77,16
78,17
79,20
80,22
81,16
82,17
83,12
84,28
85,17
86,12
87,17
88,14
89,16
90,14
91,16
92,18
93,17
94,15
95,23
96,16
97,18
98,19
99,19
100,13
101,20
102,15
103,15
104,19
105,20
106,16
107,17
108,12
109,3
110,21
111,16
112,14
113,14
114,11
115,15
116,20
117,15
118,22
119,6
120,11
121,15
122,9
123,16
124,18
125,16
126,17
127,10
128,14
129,9
130,11
131,12
132,14
133,18
134,11
135,24
136,11
137,16
138,19
139,11
140,14
141,14
142,11
143,12
144,13
145,19
146,11
147,12
148,15
149,11
150,15
151,13
152,11
153,12
154,13
155,12
156,11
157,10
158,15
159,13
160,13
161,14
162,4
163,15
164,13
165,8
166,12
167,12
168,11
169,12
170,8
171,15
172,14
173,15
174,16
175,11
176,14
177,13
178,11
179,20
180,10
181,15
182,9
183,9
184,15
185,14
186,10
187,4
188,11
189,8
190,15
191,12
192,8
193,16
194,14
195,11
196,12
197,12
198,10
199,9
200,12
201,12
202,13
203,13
204,18
205,21
206,11
207,19
208,14
209,11
210,15
211,15
212,19
213,19
214,14
215,15
216,14
217,10
218,17
219,10
220,8
221,12
222,15
223,11
224,10
225,9
226,11
227,15
228,9
229,10
230,18
231,10
232,14
233,12
234,10
235,11
236,16
237,17
238,14
239,16
240,21
241,12
242,11
243,13
244,7
245,8
246,16
247,14
248,14
249,13
250,2
251,13
252,11
253,11
254,13
255,10
256,9
257,12
258,12
259,17
260,8
261,2
262,7
263,10
264,12
265,5
266,5
267,14
268,5
269,13
270,11
271,8
272,6
273,11
274,10
275,9
276,11
277,7
278,6
279,11
280,7
281,10
282,3
283,5
284,9
285,11
286,5
287,6
288,7
289,6
290,8
291,9
292,5
293,9
294,8
295,7
296,3
297,6
298,7
299,8
300,10
301,6
302,5
303,9
304,10
305,7
306,8
307,7
308,4
309,3
310,2
311,6
312,3
313,3
314,4
315,5
316,5
317,8
318,9
319,7
320,8
321,5
322,3
323,8
324,11
325,15
326,8
327,8
328,6
329,13
330,0
331,4
332,6
333,4
334,5
335,4
336,4
337,4
338,7
339,4
340,3
341,6
342,7
343,6
344,5
345,2
346,2
347,4
348,3
349,6
350,2
351,8
352,3
353,3
354,5
355,6
356,5
357,2
358,8
359,1
360,5
361,9
362,5
363,6
364,9
365,2
366,3
367,6
368,4
369,3
370,4
371,4
372,8
373,4
374,3
375,2
376,2
377,4
378,1
379,3
380,1
381,6
382,8
383,6
384,6
385,9
386,3
387,2
388,4
389,3
390,3
391,3
392,4
393,6
394,4
395,3
396,2
397,3
398,2
399,3
400,5
401,4
402,4
403,1
404,8
405,2
406,2
407,3
408,6
409,3
410,3
411,4
412,4
413,5
414,4
415,2
416,3
417,3
418,6
419,7
420,6
421,2
422,6
423,5
424,6
425,8
426,9
427,12
428,5
429,5
430,4
431,11
432,10
433,10
434,12
435,6
436,11
437,14
438,29
439,46
440,69
441,146
442,214
443,396
444,614
445,876
446,1120
447,1334
448,1559
449,1587
450,1529
451,1395
452,1107
453,812
454,598
455,377
456,223
457,111
458,76
459,42
460,24
461,9
462,4
463,5
464,9
465,3
466,3
467,1
468,4
469,2
470,4
471,4
472,4
473,2
474,2
475,2
476,4
477,1
478,3
479,4
480,3
481,9
482,7
483,6
484,6
485,7
486,7
487,9
488,6
489,11
490,8
491,9
492,12
493,20
494,33
495,57
496,78
497,91
498,178
499,236
500,287
501,308
502,342
503,321
504,301
505,263
506,205
507,164
508,119
509,86
510,49
511,45
512,36
513,28
514,20
515,15
516,5
517,6
518,3
519,3
520,2
521,1
522,1
523,2
524,1
525,1
526,2
527,1
528,1
529,0
