Channel,Counts
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,3
13,8
14,14
15,13
16,12
17,19
18,18
19,17
20,12
21,15
22,19
23,12
24,9
25,12
26,8
27,11
28,20
29,13
30,9
31,8
32,10
33,11
34,12
35,3
36,10
37,5
38,7
39,8
40,7
41,6
42,12
43,7
44,8
45,7
46,5
47,5
48,11
49,7
50,5
51,3
52,10
53,6
54,9
55,8
56,5
57,4
58,5
59,6
60,5
61,8
62,8
63,4
64,6
65,7
66,8
67,3
68,9
69,4
70,10
71,3
72,14
73,6
74,6
75,4
76,7
77,4
78,11
79,1
80,2
81,9
82,5
83,4
84,6
85,3
86,6
87,9
88,5
89,8
90,5
91,8
92,11
93,10
94,9
95,14
96,22
97,23
98,31
99,31
100,20
101,14
102,6
103,8
104,8
105,9
106,10
107,9
108,5
109,14
110,11
111,8
112,5
113,5
114,7
115,7
116,4
117,3
118,5
119,4
120,3
121,6
122,8
123,4
124,2
125,6
126,5
127,7
128,5
129,5
130,5
131,7
132,3
133,0
134,3
135,3
136,5
137,8
138,3
139,2
140,6
141,3
142,4
143,7
144,7
145,3
146,4
147,3
148,6
149,7
150,4
151,3
152,3
153,8
154,5
155,5
156,3
157,5
158,10
159,10
160,3
161,5
162,4
163,7
164,7
165,6
166,2
167,4
168,5
169,6
170,5
171,3
172,4
173,4
174,5
175,6
176,10
177,9
178,10
179,9
180,7
181,13
182,4
183,7
184,9
185,11
186,13
187,5
188,8
189,2
190,7
191,6
192,10
193,7
194,10
195,5
196,5
197,8
198,7
199,5
200,8
201,10
202,7
203,11
204,7
205,5
206,7
207,10
208,14
209,8
210,12
211,18
212,19
213,23
214,21
215,11
216,28
217,28
218,14
219,17
220,13
221,7
222,10
223,11
224,8
225,12
226,3
227,9
228,6
229,10
230,13
231,9
232,11
233,14
234,12
235,11
236,14
237,16
238,19
239,8
240,14
241,16
242,21
243,11
244,11
245,15
246,21
247,21
248,25
249,39
250,30
251,35
252,42
253,33
254,23
255,28
256,17
257,10
258,9
259,4
260,13
261,15
262,7
263,17
264,22
265,22
266,17
267,22
268,22
269,22
270,27
271,18
272,20
273,20
274,24
275,15
276,14
277,18
278,16
279,17
280,27
281,17
282,15
283,19
284,15
285,22
286,21
287,7
288,13
289,16
290,18
291,22
292,13
293,14
294,20
295,16
296,11
297,13
298,18
299,15
300,12
301,10
302,10
303,13
304,11
305,19
306,19
307,11
308,13
309,20
310,16
311,29
312,26
313,21
314,21
315,14
316,17
317,19
318,31
319,32
320,38
321,53
322,85
323,134
324,331
325,596
326,1048
327,1787
328,2693
329,3678
330,4590
331,5366
332,5581
333,5004
334,4094
335,3220
336,2169
337,1308
338,744
339,397
340,194
341,83
342,44
343,27
344,25
345,21
346,21
347,18
348,13
349,15
350,17
351,21
352,13
353,20
354,24
355,16
356,25
357,27
358,22
359,30
360,59
361,85
362,140
363,193
364,301
365,463
366,636
367,783
368,839
369,872
370,849
371,714
372,562
373,404
374,275
375,157
376,92
377,61
378,29
379,15
380,5
381,13
382,10
383,8
384,6
385,4
386,14
387,12
388,7
389,4
390,12
391,11
392,5
393,7
394,11
395,7
396,8
397,3
398,3
399,9
400,2
401,12
402,9
403,7
404,7
405,10
406,13
407,5
408,10
409,9
410,5
411,10
412,7
413,3
414,2
415,6
416,9
417,7
418,9
419,8
420,6
421,6
422,8
423,3
424,5
425,11
426,13
427,11
428,4
429,10
430,9
431,12
432,8
433,10
434,7
435,6
436,8
437,13
438,5
439,5
440,5
441,7
442,5
443,6
444,6
445,4
446,9
447,9
448,4
449,12
450,16
451,8
452,11
453,5
454,12
455,6
456,9
457,7
458,4
459,9
460,9
461,6
462,4
463,7
464,5
465,9
466,8
467,8
468,7
469,11
470,13
471,12
472,7
473,2
474,8
475,10
476,13
477,5
478,13
479,6
480,9
481,10
482,8
483,13
484,0
485,8
486,10
487,6
488,13
489,11
490,4
491,10
492,12
493,7
494,7
495,9
496,10
497,6
498,10
499,15
500,11
501,11
502,8
503,8
504,8
505,8
506,14
507,13
508,14
509,16
510,14
511,6
512,10
513,9
514,9
515,14
516,11
517,10
518,10
519,14
520,6
521,9
522,7
523,10
524,12
525,6
526,9
527,10
528,10
