Channel,Counts
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,2
12,54
13,169
14,223
15,228
16,238
17,288
18,232
19,254
20,221
21,246
22,218
23,187
24,231
25,211
26,219
27,223
28,207
29,197
30,183
31,208
32,200
33,212
34,208
35,174
36,164
37,190
38,191
39,169
40,168
41,174
42,176
43,175
44,171
45,193
46,178
47,166
48,171
49,164
50,125
51,159
52,148
53,143
54,157
55,145
56,149
57,133
58,123
59,139
60,137
61,129
62,132
63,133
64,148
65,140
66,144
67,140
68,159
69,140
70,128
71,123
72,104
73,128
74,138
75,132
76,127
77,145
78,128
79,116
80,120
81,141
82,111
83,136
84,151
85,123
86,128
87,117
88,139
89,124
90,134
91,118
92,112
93,121
94,128
95,132
96,105
97,105
98,103
99,122
100,104
101,110
102,118
103,105
104,109
105,99
106,106
107,108
108,115
109,94
110,115
111,102
112,121
113,117
114,86
115,108
116,121
117,102
118,115
119,97
120,120
121,99
122,94
123,108
124,92
125,117
126,103
127,106
128,106
129,86
130,94
131,102
132,94
133,113
134,99
135,105
136,108
137,85
138,85
139,101
140,112
141,138
142,89
143,112
144,89
145,85
146,101
147,86
148,99
149,96
150,110
151,97
152,88
153,94
154,95
155,109
156,108
157,86
158,97
159,97
160,85
161,108
162,93
163,107
164,88
165,90
166,106
167,104
168,97
169,118
170,104
171,96
172,95
173,106
174,96
175,79
176,104
177,96
178,93
179,84
180,111
181,100
182,88
183,98
184,95
185,86
186,97
187,100
188,108
189,98
190,94
191,90
192,96
193,89
194,89
195,91
196,91
197,106
198,109
199,82
200,85
201,84
202,97
203,106
204,95
205,131
206,151
207,187
208,182
209,223
210,238
211,230
212,229
213,182
214,165
215,132
216,122
217,86
218,89
219,68
220,77
221,72
222,74
223,57
224,61
225,64
226,65
227,70
228,80
229,75
230,116
231,160
232,151
233,204
234,199
235,204
236,204
237,143
238,135
239,104
240,92
241,63
242,68
243,73
244,77
245,78
246,93
247,84
248,78
249,93
250,67
251,84
252,59
253,57
254,38
255,58
256,45
257,43
258,48
259,34
260,39
261,51
262,43
263,40
264,52
265,27
266,43
267,46
268,46
269,39
270,49
271,49
272,60
273,37
274,47
275,38
276,46
277,38
278,35
279,38
280,36
281,32
282,37
283,26
284,34
285,26
286,33
287,31
288,28
289,21
290,29
291,30
292,24
293,30
294,28
295,21
296,25
297,16
298,21
299,14
300,23
301,20
302,19
303,27
304,25
305,21
306,35
307,25
308,33
309,31
310,26
311,26
312,24
313,12
314,23
315,17
316,24
317,20
318,22
319,13
320,27
321,24
322,13
323,33
324,21
325,24
326,24
327,17
328,23
329,15
330,21
331,18
332,19
333,15
334,12
335,11
336,15
337,14
338,13
339,17
340,23
341,14
342,20
343,14
344,20
345,14
346,26
347,12
348,21
349,13
350,18
351,21
352,17
353,13
354,16
355,20
356,21
357,15
358,18
359,18
360,15
361,14
362,14
363,10
364,6
365,17
366,18
367,20
368,20
369,20
370,12
371,9
372,15
373,22
374,19
375,8
376,23
377,15
378,14
379,18
380,14
381,12
382,14
383,15
384,20
385,13
386,15
387,7
388,13
389,16
390,22
391,14
392,11
393,15
394,17
395,14
396,13
397,23
398,13
399,15
400,16
401,19
402,22
403,14
404,14
405,13
406,13
407,9
408,10
409,16
410,12
411,12
412,10
413,9
414,12
415,13
416,6
417,13
418,6
419,7
420,17
421,13
422,15
423,17
424,19
425,25
426,17
427,17
428,11
429,11
430,14
431,17
432,6
433,15
434,12
435,10
436,9
437,10
438,12
439,11
440,9
441,14
442,9
443,8
444,8
445,5
446,14
447,20
448,8
449,10
450,12
451,11
452,12
453,18
454,5
455,16
456,4
457,13
458,14
459,7
460,9
461,7
462,10
463,12
464,9
465,9
466,10
467,7
468,6
469,14
470,12
471,8
472,14
473,4
474,9
475,13
476,9
477,12
478,11
479,6
480,7
481,9
482,10
483,15
484,10
485,11
486,15
487,10
488,6
489,13
490,4
491,10
492,8
493,12
494,12
495,9
496,11
497,8
498,12
499,13
500,11
501,10
502,12
503,10
504,9
505,8
506,10
507,5
508,7
509,13
510,14
511,11
512,9
513,12
514,7
515,8
516,9
517,3
518,8
519,12
520,11
521,12
522,10
523,8
524,7
525,7
526,9
527,8
528,9
529,14
530,10
531,11
