Peaks		Channel		uncChan		Energy
Ag	Ka1	742.3		5.2		22.163
Ag	Kb1	837.3		4.5		24.941
Ag	Kb2	854.6		4.3		25.450
Ba	Ka2	1068.8		5.5		31.817
Ba	Ka1	1081.4		4.7		32.194
Ba	Kb1	1220.6		5.6		36.378
Ba	Kb2	1251.3		5.5		37.249
Cu	Ka1	270.2		3.1		8.046
Cu	Kb1	299.1		3.9		8.904
Mo	Ka1	585.7		4.2		17.480
Mo	Kb1/3	658.3		4.2		19.600
Mo	Kb2	670.9		3.6		19.962
Rb	Ka1/2	449.2		3.6		13.376
Rb	Kb1	502.8		4.1		14.961
Tb	Ka2	1468.4		6.1		43.744
Tb	Ka1	1493.4		5.6		44.482
Tb	Kb1/3	1689.6		7.0		50.331
Tb	Kb2	1735.9		7.0		51.674
